,MsSubClass,Zone,Neighborhood,Area,Room,YearBuilt,Sale-Rent,Document,Floor,AllFloors,Elevator,Warehouse,Parking,Reconstruction,Balconcy,PricePerMeter,TotalPrice
194,0,1,5,75,2,9,0,0,3,4,1,1,1,0,1,266666000.0,20000000000.0
195,0,1,3,75,2,1,0,0,3,4,1,1,1,0,1,133333000.0,10000000000.0
196,0,1,21,75,2,1,0,0,4,4,1,1,1,0,1,206666000.0,15500000000.0
197,0,1,4,75,2,1,0,0,4,4,1,1,0,0,0,121333000.0,9100000000.0
198,0,1,15,75,2,1,0,0,4,4,1,1,1,0,1,206666000.0,15500000000.0
199,0,1,15,75,2,1,0,0,4,4,1,1,1,0,1,206666000.0,15500000000.0
200,0,1,15,75,2,1,0,0,4,4,1,1,1,0,1,206666000.0,15500000000.0
201,0,1,15,75,2,1,0,0,4,4,1,1,1,0,1,206666000.0,15500000000.0
202,0,1,15,75,2,1,0,3,3,4,1,0,1,0,1,136000000.0,10200000000.0
203,0,1,8,76,2,1,0,0,3,4,1,1,1,0,1,136842000.0,10400000000.0
204,0,1,15,77,2,16,0,0,1,4,1,1,1,1,1,120779000.0,9300000000.0
205,0,1,6,77,1,3,0,0,2,4,1,1,1,0,1,194805000.0,15000000000.0
206,0,1,9,77,1,3,0,0,4,4,1,1,1,0,1,194805000.0,15000000000.0
207,0,1,6,77,1,2,0,0,2,4,1,1,1,0,1,194805000.0,15000000000.0
208,0,1,8,78,2,17,0,0,1,4,1,1,1,1,0,138461000.0,10800000000.0
209,0,1,8,78,2,15,0,0,1,4,1,1,1,1,1,138461000.0,10800000000.0
210,0,1,15,78,2,15,0,0,1,4,1,1,1,1,1,137179000.0,10700000000.0
211,0,1,4,78,2,13,0,0,4,4,1,1,0,0,0,144871000.0,11300000000.0
212,0,1,6,80,2,17,0,0,1,4,0,0,0,1,1,143750000.0,11500000000.0
213,0,1,8,80,2,17,0,0,1,4,1,1,1,1,1,116250000.0,9300000000.0
214,0,1,15,80,2,15,0,0,1,4,1,1,1,1,0,135000000.0,10800000000.0
215,0,1,16,80,2,13,0,0,4,4,1,1,1,1,1,175000000.0,14000000000.0
216,0,1,15,80,2,9,0,0,3,4,1,1,1,0,0,161250000.0,12900000000.0
217,0,1,27,80,2,6,0,0,2,4,1,1,1,1,0,115000000.0,9200000000.0
218,0,1,15,80,2,6,0,0,2,4,1,1,1,1,1,156875000.0,12550000000.0
219,0,1,27,80,2,2,0,0,1,4,1,0,0,0,0,132500000.0,10600000000.0
220,0,1,15,81,2,24,0,0,4,4,0,1,1,1,0,134567000.0,10900000000.0
221,0,1,27,81,2,10,0,0,2,4,1,1,1,1,1,123456000.0,10000000000.0
222,0,1,27,82,2,21,0,0,1,4,0,1,1,0,1,103658000.0,8500000000.0
223,0,1,28,82,1,16,0,0,4,4,1,1,1,0,0,133000000.0,10906000000.0
224,0,1,1,82,2,13,0,0,1,4,1,1,1,1,1,146341000.0,12000000000.0
225,0,1,20,84,2,21,0,0,1,4,1,1,1,1,1,139285000.0,11700000000.0
226,0,1,1,84,2,11,0,0,1,4,1,1,1,0,1,142857000.0,12000000000.0
227,0,1,12,84,2,8,0,0,2,4,1,1,0,1,1,108333000.0,9100000000.0
228,0,1,12,84,2,7,0,0,2,4,1,1,0,0,1,109523000.0,9200000000.0
229,0,1,12,84,2,6,0,0,2,4,1,1,0,0,1,110714000.0,9300000000.0
230,0,1,21,85,1,26,0,0,0,4,0,1,0,1,0,151764000.0,12900000000.0
231,0,1,15,85,2,17,0,0,2,4,1,1,1,1,1,129411000.0,11000000000.0
232,0,1,15,85,2,7,0,0,1,4,1,1,1,0,1,158823000.0,13500000000.0
